CMDLINE /home/sarvesh/Downloads/HappyMongo/voiceenv/bin/python3 server.py
MEM 946.890625 1587455271.0155
CHLD 0 248.964844 1587455271.0243
CHLD 1 553.667969 1587455271.0244
MEM 947.406250 1587455271.1331
CHLD 0 248.964844 1587455271.1409
CHLD 1 554.183594 1587455271.1409
MEM 947.664062 1587455271.2493
CHLD 0 248.964844 1587455271.2570
CHLD 1 554.441406 1587455271.2570
MEM 948.179688 1587455271.3666
CHLD 0 248.964844 1587455271.3751
CHLD 1 554.957031 1587455271.3751
MEM 699.472656 1587455271.4836
CHLD 0 0.000000 1587455271.4918
CHLD 1 555.214844 1587455271.4918
MEM 699.988281 1587455271.6004
CHLD 0 0.000000 1587455271.6085
CHLD 1 555.730469 1587455271.6085
MEM 700.246094 1587455271.7170
CHLD 0 0.000000 1587455271.7250
CHLD 1 556.246094 1587455271.7251
MEM 700.761719 1587455271.8317
CHLD 0 0.000000 1587455271.8387
CHLD 1 556.503906 1587455271.8388
MEM 701.277344 1587455271.9450
CHLD 0 0.000000 1587455271.9507
CHLD 1 557.019531 1587455271.9507
MEM 701.535156 1587455272.0570
CHLD 0 0.000000 1587455272.0633
CHLD 1 557.277344 1587455272.0633
MEM 702.050781 1587455272.1704
CHLD 0 0.000000 1587455272.1765
CHLD 1 557.792969 1587455272.1765
MEM 702.566406 1587455272.2829
CHLD 0 0.000000 1587455272.2895
CHLD 1 558.308594 1587455272.2895
MEM 702.824219 1587455272.3967
CHLD 0 0.000000 1587455272.4026
CHLD 1 558.566406 1587455272.4026
MEM 703.339844 1587455272.5109
CHLD 0 0.000000 1587455272.5188
CHLD 1 559.082031 1587455272.5188
MEM 703.597656 1587455272.6276
CHLD 0 0.000000 1587455272.6356
CHLD 1 559.339844 1587455272.6356
MEM 704.113281 1587455272.7447
CHLD 0 0.000000 1587455272.7525
CHLD 1 559.855469 1587455272.7525
MEM 704.628906 1587455272.8606
CHLD 0 0.000000 1587455272.8688
CHLD 1 560.371094 1587455272.8689
MEM 704.886719 1587455272.9769
CHLD 0 0.000000 1587455272.9856
CHLD 1 560.628906 1587455272.9856
MEM 705.402344 1587455273.0944
CHLD 0 0.000000 1587455273.1021
CHLD 1 561.144531 1587455273.1022
MEM 705.660156 1587455273.2104
CHLD 0 0.000000 1587455273.2180
CHLD 1 561.402344 1587455273.2180
MEM 706.175781 1587455273.3267
CHLD 0 0.000000 1587455273.3347
CHLD 1 561.917969 1587455273.3347
MEM 706.691406 1587455273.4432
CHLD 0 0.000000 1587455273.4496
CHLD 1 562.433594 1587455273.4496
MEM 706.949219 1587455273.5559
CHLD 0 0.000000 1587455273.5619
CHLD 1 562.691406 1587455273.5625
MEM 707.464844 1587455273.6689
CHLD 0 0.000000 1587455273.6757
CHLD 1 563.207031 1587455273.6757
MEM 602.691406 1587455273.7822
CHLD 0 0.000000 1587455273.7898
CHLD 1 458.433594 1587455273.7898
MEM 602.691406 1587455273.8974
CHLD 0 0.000000 1587455273.9032
CHLD 1 458.433594 1587455273.9032
MEM 603.449219 1587455274.0117
CHLD 0 0.000000 1587455274.0181
CHLD 1 459.191406 1587455274.0182
MEM 603.707031 1587455274.1246
CHLD 0 0.000000 1587455274.1310
CHLD 1 459.449219 1587455274.1310
MEM 603.964844 1587455274.2372
CHLD 0 0.000000 1587455274.2434
CHLD 1 459.707031 1587455274.2434
MEM 604.222656 1587455274.3504
CHLD 0 0.000000 1587455274.3563
CHLD 1 459.964844 1587455274.3563
MEM 604.480469 1587455274.4636
CHLD 0 0.000000 1587455274.4698
CHLD 1 460.222656 1587455274.4698
MEM 604.738281 1587455274.5766
CHLD 0 0.000000 1587455274.5824
CHLD 1 460.480469 1587455274.5824
MEM 604.996094 1587455274.6895
CHLD 0 0.000000 1587455274.6954
CHLD 1 460.738281 1587455274.6954
MEM 604.996094 1587455274.8039
CHLD 0 0.000000 1587455274.8120
CHLD 1 460.996094 1587455274.8121
MEM 268.738281 1587455274.9195
CHLD 0 0.000000 1587455274.9258
CHLD 1 124.480469 1587455274.9258
MEM 432.476562 1587455275.0344
CHLD 0 0.000000 1587455275.0412
CHLD 1 306.218750 1587455275.0413
MEM 533.460938 1587455275.1484
CHLD 0 0.000000 1587455275.1553
CHLD 1 338.343750 1587455275.1554
MEM 522.796875 1587455275.2618
CHLD 0 0.000000 1587455275.2678
CHLD 1 384.539062 1587455275.2678
MEM 481.058594 1587455275.3748
CHLD 0 0.000000 1587455275.3819
CHLD 1 336.800781 1587455275.3819
MEM 481.058594 1587455275.4886
CHLD 0 0.000000 1587455275.4957
CHLD 1 336.800781 1587455275.4957
MEM 481.058594 1587455275.6024
CHLD 0 0.000000 1587455275.6097
CHLD 1 336.800781 1587455275.6097
MEM 144.453125 1587455275.7203
MEM 144.453125 1587455275.8388
MEM 144.453125 1587455275.9613
MEM 144.453125 1587455276.0890
MEM 144.453125 1587455276.2192
MEM 144.453125 1587455276.3439
MEM 144.453125 1587455276.4699
MEM 144.453125 1587455276.6037
MEM 144.453125 1587455276.7348
MEM 144.453125 1587455276.8654
MEM 144.453125 1587455276.9992
MEM 144.453125 1587455277.1375
MEM 144.453125 1587455277.2645
MEM 144.453125 1587455277.3966
MEM 144.453125 1587455277.5313
MEM 144.453125 1587455277.6648
MEM 144.453125 1587455277.7991
MEM 144.453125 1587455277.9304
MEM 144.453125 1587455278.0607
MEM 144.453125 1587455278.1921
MEM 144.453125 1587455278.3268
MEM 144.453125 1587455278.4639
MEM 144.453125 1587455278.5996
MEM 144.453125 1587455278.7346
MEM 144.453125 1587455278.8710
MEM 144.453125 1587455279.0048
MEM 144.453125 1587455279.1391
MEM 144.453125 1587455279.2681
MEM 144.453125 1587455279.3941
MEM 144.453125 1587455279.5296
MEM 144.453125 1587455279.6653
MEM 144.453125 1587455279.8017
MEM 144.453125 1587455279.9366
MEM 144.453125 1587455280.0764
MEM 144.453125 1587455280.2128
MEM 144.453125 1587455280.3428
MEM 144.453125 1587455280.4629
MEM 144.453125 1587455280.5881
MEM 144.453125 1587455280.7091
MEM 144.453125 1587455280.8407
MEM 144.453125 1587455280.9764
MEM 144.453125 1587455281.1149
MEM 144.453125 1587455281.2494
MEM 144.453125 1587455281.3838
MEM 144.453125 1587455281.5189
MEM 144.453125 1587455281.6523
MEM 144.453125 1587455281.7942
MEM 144.453125 1587455281.9311
MEM 144.453125 1587455282.0640
MEM 144.453125 1587455282.1983
MEM 144.453125 1587455282.3346
MEM 144.453125 1587455282.4687
MEM 144.453125 1587455282.6081
MEM 144.453125 1587455282.7475
MEM 144.453125 1587455282.8838
MEM 144.453125 1587455283.0165
MEM 144.453125 1587455283.1456
MEM 144.453125 1587455283.2787
MEM 144.453125 1587455283.4177
MEM 144.453125 1587455283.5409
MEM 144.453125 1587455283.6559
MEM 144.453125 1587455283.7778
MEM 144.453125 1587455283.9016
MEM 144.453125 1587455284.0270
MEM 144.453125 1587455284.1593
MEM 144.453125 1587455284.2971
MEM 144.453125 1587455284.4356
MEM 144.453125 1587455284.5752
MEM 144.453125 1587455284.7122
MEM 144.453125 1587455284.8454
MEM 144.453125 1587455284.9813
MEM 144.453125 1587455285.1201
MEM 144.453125 1587455285.2525
MEM 144.453125 1587455285.3894
MEM 144.453125 1587455285.5173
